date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-05-10|09:30:45|Office Chair|Staples|-120.00
2023-05-12|14:45:20|Consulting Fee|Acme Corp|2000.00
2023-06-01|10:00:00|Electricity Bill|Power Co|-75.60
2023-06-15|08:15:30|Web Development Payment|Client A|3500.00
2023-07-05|16:25:10|Software Subscription|Adobe|-59.99
2023-07-12|12:05:00|Invoice 2002 paid|Client B|1500.00
2023-08-20|15:45:15|Payment for Project X|Client C|4000.00
2023-09-10|10:30:00|Coffee Supplies|Coffee Shop|-25.00
2023-09-20|09:45:00|Internet Bill|ISP Inc|-100.00
2023-10-01|11:00:00|Monthly Rent|Landlord|-1500.00
2023-10-15|17:30:45|Domain Renewal|Domain Co|-12.99
2023-10-28|13:15:50|Payment from Client Y|Client Y|2500.00
2023-11-02|10:10:10|Office Supplies|Stationery World|-45.75
2023-11-15|08:00:00|Annual Subscription|Productivity App|-120.00
2023-12-05|14:50:05|End-of-Year Bonus|Employer|5000.00
